91297800,-4.67909,55.5306
91299600,-4.6791,55.5305
91301400,-4.6791,55.5305
91303200,-4.67909,55.5306
91305000,-4.67909,55.5306
91306800,-4.6791,55.5306
91308600,-4.6791,55.5306
91310400,-4.67929,55.5306
91312200,-4.6669,55.5476
91314000,-4.58041,55.6561
91315800,-4.5156,55.5549
91317600,-4.48424,55.4883
91319400,-4.31936,55.5009
91321200,-4.14135,55.5268
91323000,-3.97462,55.5443
91324800,-3.80547,55.5615
91326600,-3.62647,55.5919
91328400,-3.43046,55.6233
91330200,-3.23731,55.6466
91332000,-3.05498,55.6783
91333800,-2.86978,55.714
91335600,-2.70455,55.7363
91337400,-2.53622,55.7603
91339200,-2.35959,55.7854
91341000,-2.18748,55.8098
91342800,-2.04454,55.8335
91344600,-1.90103,55.8659
91346400,-1.76059,55.9005
91348200,-1.64195,55.9335
91350000,-1.54844,55.9697
91351800,-1.46493,56.0103
91353600,-1.39925,56.0631
91355400,-1.34604,56.1391
91357200,-1.2974,56.2227
91359000,-1.2652,56.3121
91360800,-1.24174,56.3965
91362600,-1.22532,56.4747
91364400,-1.22648,56.5477
91366200,-1.24471,56.6085
91368000,-1.2635,56.6611
91369800,-1.28763,56.7089
91371600,-1.327,56.7485
91373400,-1.37648,56.7799
91375200,-1.43604,56.7934
91377000,-1.50154,56.7927
91378800,-1.56948,56.7894
91380600,-1.65413,56.7935
91382400,-1.74593,56.8149
91384200,-1.84586,56.8531
91386000,-1.94693,56.9187
91387800,-2.03229,57.0041
91389600,-2.12487,57.0807
91391400,-2.21095,57.1509
91393200,-2.29077,57.2321
91395000,-2.36993,57.3237
91396800,-2.43952,57.3993
91398600,-2.51414,57.464
91400400,-2.59084,57.5285
91402200,-2.66978,57.5933
91404000,-2.74668,57.6812
91405800,-2.8091,57.7722
91407600,-2.87761,57.8534
91409400,-2.93575,57.9383
91411200,-2.98385,58.0372
91413000,-3.02068,58.1542
91414800,-3.06338,58.298
91416600,-3.11687,58.4424
91418400,-3.17615,58.5814
91420200,-3.24248,58.7096
91422000,-3.30697,58.8244
91423800,-3.36779,58.9423
91425600,-3.4218,59.0624
91427400,-3.46105,59.1904
91429200,-3.49069,59.3236
91431000,-3.5332,59.4658
91432800,-3.57795,59.6095
91434600,-3.63485,59.7462
91436400,-3.69325,59.8786
91438200,-3.75628,59.9925
91440000,-3.8129,60.1153
91441800,-3.86045,60.2411
91443600,-3.89905,60.367
91445400,-3.92651,60.505
91447200,-3.94984,60.6632
91449000,-3.99378,60.8287
91450800,-4.04183,60.9905
91452600,-4.07622,61.1665
91454400,-4.09335,61.3495
91456200,-4.1123,61.5349
91458000,-4.13411,61.7077
